1	SCL	SCL
2	+5V	P5V
3	SDA	SDA
4	R_GA	I2C_ADR_SEL
5	S0_D0P	DIFF0_P
6	S1_D1P	DIFF1_PCLK_P
7	S2_D0N	DIFF0_N
8	S3_D1N	DIFF1_PCLK_N
9	S4_D2P	DIFF2_P
10	S5_D3P	DIFF3_PCLK_P
11	S6_D2N	DIFF2_N
12	S7_D3N	DIFF3_PCLK_N
13	S8_D4P	DIFF4_PCLK_P
14	S9_D5P	DIFF5_PCLK_P
15	S10_D4N	DIFF4_PCLK_N
16	S11_D5N	DIFF5_PCLK_N
17	S12_D6P	
18	S13_D7P	
19	S14_D6N	
20	S15_D7N	
21	S16	GPIO_0
22	S17	GPIO_1
23	S18	GPIO_2
24	S19	GPIO_3
25	S20	
26	S21	
27	S22	
28	S23	
29	S24	
30	S25	
31	S26	
32	S27	
33	P2C_CLKP	
34	C2P_CLKP	
35	P2C_CLKN	
36	C2P_CLKN	
37	RSVD	
38	RSVD	
39	VIO1	PVDD_3
40	+3.3V	P3V3D
